city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
Dinguiraye,11.3,-10.7167,91.0,21,1,6.15,GN,1614940650
Parit Buntar,5.1267,100.4932,89.01,66,20,6.91,MY,1614940650
Banepā,27.6298,85.5214,69.8,35,75,13.8,NP,1614940650
Kiryat Gat,31.61,34.7642,64.0,54,38,1.99,IL,1614940650
Freeport,40.6576,-73.5832,25.0,46,1,13.8,US,1614940601
Shenjiamen,29.9576,122.298,51.58,89,100,3.51,CN,1614940651
Aswān,24.0934,32.907,77.32,19,0,11.27,EG,1614940651
Amacuzac,18.5833,-99.35,64.99,66,0,0.56,MX,1614940651
Umluj,25.0213,37.2685,80.44,26,0,5.28,SA,1614940651
Macapá,0.0389,-51.0664,77.0,100,75,2.3,BR,1614940528
Djibo,14.1022,-1.6306,94.82,9,0,20.49,BF,1614940651
Leh,34.1667,77.5833,23.36,61,9,3.67,IN,1614940513
Matamoros,25.5333,-103.25,62.98,28,37,9.93,MX,1614940544
Vila Velha,-20.3297,-40.2925,81.0,69,0,6.91,BR,1614940652
Peniche,39.3558,-9.3811,57.99,80,97,14.0,PT,1614940652
São Filipe,14.8961,-24.4956,71.49,72,41,7.23,CV,1614940652
Moree,-29.4667,149.85,75.2,31,0,6.91,AU,1614940532
Mahalapye,-23.1041,26.8142,89.47,23,11,8.05,BW,1614940652
Suşehri,40.1644,38.0867,40.91,53,0,2.01,TR,1614940652
Yumen,40.2833,97.2,44.67,27,76,6.31,CN,1614940653
San Rafael,-34.6177,-68.3301,67.24,80,0,10.65,AR,1614940653
Baft,29.234,56.6057,64.51,24,2,27.47,IR,1614940653
Balkhash,46.844,74.9804,32.0,64,0,13.42,KZ,1614940653
Humaitá,-7.5061,-63.0208,72.52,99,100,1.54,BR,1614940653
Byron Bay,-28.65,153.6167,77.0,57,90,12.66,AU,1614940653
Usoke,-5.1667,32.35,82.4,54,75,4.61,TZ,1614940653
Alice Springs,-23.7,133.8833,87.8,9,4,8.05,AU,1614940653
Örnsköldsvik,63.2909,18.7153,24.8,63,0,5.75,SE,1614940654
Movileni,44.3667,24.65,66.0,23,0,13.8,RO,1614940654
Palana,59.1167,159.9667,-14.62,97,100,4.79,RU,1614940654
Abū Zabad,12.35,29.25,92.07,7,0,19.42,SD,1614940654
Naustdal,61.509,5.7168,33.8,93,75,3.44,NO,1614940654
Abbeville,50.1,1.8333,41.0,73,61,13.82,FR,1614940654
Oddur,4.1213,43.8894,95.79,20,87,19.51,SO,1614940655
Zhanakorgan,43.9098,67.2495,42.8,37,0,4.9,KZ,1614940655
Hobyo,5.3505,48.5268,83.34,58,0,19.28,SO,1614940655
Mayumba,-3.432,10.6554,84.85,75,57,9.57,GA,1614940656
Ahipara,-35.1667,173.1667,60.58,81,0,5.32,NZ,1614940656
Encruzilhada do Sul,-30.5439,-52.5219,64.99,95,100,5.32,BR,1614940656
Languyan,5.2618,120.0807,79.27,85,2,6.76,PH,1614940656
Timrå,62.487,17.3257,30.2,51,0,9.22,SE,1614940656
Agirish,61.9247,63.0231,19.96,83,73,1.86,RU,1614940657
Selenduma,50.9131,106.2406,2.82,95,55,1.86,RU,1614940657
Mahajanga,-15.7167,46.3167,75.2,94,40,9.22,MG,1614940657
Hurghada,27.2574,33.8129,68.0,37,0,11.5,EG,1614940657
Athens,37.9795,23.7162,68.0,26,0,8.03,GR,1614940402
São João da Barra,-21.6403,-41.0511,77.0,83,20,4.61,BR,1614940657
Jega,12.2175,4.3792,101.48,7,0,16.42,NG,1614940657
Kedrovyy,56.1667,91.8167,33.8,40,0,11.18,RU,1614940657
Tabriz,38.08,46.2919,32.0,100,90,16.11,IR,1614940657
Sandūr,15.1,76.55,92.68,9,0,9.37,IN,1614940522
Xining,36.6167,101.7667,36.93,31,100,14.7,CN,1614940658
Bilma,18.6853,12.9164,85.98,7,0,15.57,NE,1614940658
Tena,-0.9833,-77.8167,69.26,97,99,2.53,EC,1614940658
Matina,10.0761,-83.2895,70.29,90,41,3.27,CR,1614940658
Thai Binh,20.45,106.3333,69.8,94,90,4.61,VN,1614940658
Sindou,10.6667,-5.1667,97.99,27,22,3.56,BF,1614940658
Talcahuano,-36.7167,-73.1167,55.4,100,0,3.44,CL,1614940659
Chui,-33.6971,-53.4616,70.5,88,4,10.54,UY,1614940659
Myitkyina,25.3833,97.4,81.18,27,45,1.45,MM,1614940659
Farmington,36.7281,-108.2187,30.2,80,1,3.53,US,1614940482
Haines Junction,60.7522,-137.5108,-5.8,84,100,1.14,CA,1614940659
Muisne,0.6,-80.0333,76.5,89,100,0.69,EC,1614940659
Krasnosel'kup,65.7,82.4667,17.17,93,100,11.16,RU,1614940660
Tura,25.5198,90.2201,84.61,17,21,5.57,IN,1614940660
Hokitika,-42.7167,170.9667,56.88,94,100,9.48,NZ,1614940660
Äänekoski,62.6946,25.818,24.01,68,0,10.36,FI,1614940660
Altay,47.8667,88.1167,25.99,96,100,2.75,CN,1614940660
Bindura,-17.3019,31.3306,77.0,58,12,3.0,ZW,1614940660
Berbera,10.4396,45.0143,81.73,66,80,11.23,SO,1614940660
Kaka,37.3482,59.6143,64.69,36,33,19.06,TM,1614940661
Hay River,60.8156,-115.7999,-0.4,85,100,4.61,CA,1614940661
Biharamulo,-2.6319,31.3089,76.96,65,95,4.21,TZ,1614940661
Dubbo,-32.25,148.6167,71.6,30,0,10.36,AU,1614940661
Sola,-13.8833,167.55,75.2,94,20,10.13,VU,1614940662
Puerto Madryn,-42.7692,-65.0385,60.76,76,33,18.57,AR,1614940662
Chicama,-7.8447,-79.1469,74.3,81,100,1.7,PE,1614940662
Coolum Beach,-26.5333,153.1,73.0,88,32,5.44,AU,1614940662
Doka,13.5167,35.7667,99.34,18,0,9.37,SD,1614940662
Kantābānji,20.4833,82.9167,98.78,6,0,10.4,IN,1614940662
Parrsboro,45.4001,-64.332,17.6,62,94,8.05,CA,1614940663
Morón,-34.6534,-58.6198,69.01,93,43,4.0,AR,1614940663
Zaozyornoye,45.1582,33.2787,50.0,61,0,10.0,UA,1614940663
Moura,38.1401,-7.4486,51.8,93,75,10.36,PT,1614940664
Vostok,46.4856,135.8833,-7.74,94,100,11.01,RU,1614940664
Konza,-1.7426,37.1294,78.8,50,40,18.41,KE,1614940664
Yining,29.0361,114.5636,55.17,96,100,1.14,CN,1614940664
Rantauprapat,2.1,99.8333,85.59,72,62,1.41,ID,1614940664
Lebanon,36.2081,-86.2911,39.2,56,1,3.44,US,1614940664
Pokhara,28.2333,83.9833,75.04,22,65,3.69,NP,1614940664
Beyla,8.6833,-8.6333,82.24,61,81,6.4,GN,1614940665
Kolpashevo,58.3131,82.9089,26.82,94,100,12.41,RU,1614940665
Frontera Hidalgo,14.7833,-92.1667,57.99,72,0,1.99,MX,1614940665
Ghanzi,-21.5667,21.7833,86.68,25,19,8.05,BW,1614940665
Mizdah,31.4451,12.9801,70.3,17,91,14.56,LY,1614940666
Tongzi,28.7829,105.0877,64.72,40,62,6.29,CN,1614940666
Río Gallegos,-51.6226,-69.2181,48.2,61,0,5.75,AR,1614940666
Valdivia,-39.8142,-73.2459,48.2,100,0,2.62,CL,1614940416
San Andrés,12.5847,-81.7006,77.0,73,20,10.36,CO,1614940666
Quatre Cocos,-20.2078,57.7625,82.4,74,75,11.5,MU,1614940666
Grajaú,-5.8194,-46.1386,76.08,92,97,0.83,BR,1614940667
Lexington Park,38.2668,-76.4538,30.2,47,1,11.5,US,1614940667
Seydi,39.4816,62.9137,57.24,21,72,16.28,TM,1614940667
Vao,-22.6667,167.4833,77.7,72,100,9.35,NC,1614940667
Skagen,57.7209,10.5839,39.2,75,0,9.22,DK,1614940667
Yunyang,33.4474,112.7142,46.99,66,100,1.01,CN,1614940668
Nālūt,30.3333,10.85,71.91,19,5,19.39,LY,1614940668
Araouane,18.9048,-3.5265,83.61,9,0,15.99,ML,1614940668
Sistranda,63.7256,8.834,35.6,80,75,16.11,NO,1614940668
Mayo,38.8876,-76.5119,30.0,46,1,14.97,US,1614940669
Lázaro Cárdenas,17.9583,-102.2,69.69,88,25,4.61,MX,1614940669
Gilbués,-9.8317,-45.3439,75.42,80,75,4.43,BR,1614940669
Nyurba,63.2842,118.3319,-16.1,97,47,5.35,RU,1614940669
Mahon,39.8885,4.2658,59.0,63,20,10.36,ES,1614940670
Iskateley,67.6803,53.1512,-2.6,93,100,10.8,RU,1614940670
Richards Bay,-28.783,32.0377,79.41,72,29,10.45,ZA,1614940670
Havre-St-Pierre,50.2334,-63.5986,10.4,85,1,4.61,CA,1614940670
Kitimat,54.0524,-128.6534,33.01,95,80,2.08,CA,1614940670
Uyemskiy,64.4743,40.8524,10.4,61,75,6.71,RU,1614940670
Nānākuli,21.3906,-158.1547,68.0,83,75,4.61,US,1614940671
Lata,40.1629,-8.3327,57.99,83,99,7.61,PT,1614940671
Perth,-31.9333,115.8333,73.99,78,75,9.22,AU,1614940387
Conceição do Araguaia,-8.2578,-49.2647,71.6,100,90,3.44,BR,1614940671
Serebryansk,49.6925,83.2892,32.0,69,75,6.71,KZ,1614940671
Ugoofaaru,5.6667,73.0,82.58,72,23,14.36,MV,1614940671
Nagybaracska,46.0425,18.9059,57.2,54,0,13.8,HU,1614940672
San Juan Bautista,-14.0108,-75.7358,73.4,83,20,4.61,PE,1614940672
Javānrūd,34.7961,46.5172,40.62,91,100,6.58,IR,1614940672
Cerritos,33.8583,-118.0648,53.6,100,1,3.65,US,1614940626
Waingapu,-9.6567,120.2641,79.81,85,59,8.12,ID,1614940631
Kumba,4.6363,9.4469,99.3,36,91,1.72,CM,1614940672
Floresta,-8.6011,-38.5686,77.81,68,30,12.93,BR,1614940672
Shakawe,-18.3667,21.85,86.52,32,0,6.35,BW,1614940673
Solnechnyy,50.7214,136.6319,-4.29,90,100,7.94,RU,1614940673
Máncora,-4.1078,-81.0475,77.74,70,100,5.53,PE,1614940673
Varhaug,58.6147,5.6457,39.0,72,16,13.8,NO,1614940673
Nelson Bay,-32.7167,152.15,71.01,64,90,11.5,AU,1614940673
Taitung City,22.7583,121.1444,73.4,78,75,5.75,TW,1614940674
The Valley,18.217,-63.0578,77.0,78,40,11.5,AI,1614940511
Maţāy,28.419,30.7792,72.57,22,0,11.43,EG,1614940674
Utiel,39.5667,-1.2,61.0,55,39,1.01,ES,1614940674
Kondinskoye,59.6481,67.41,20.17,92,100,5.21,RU,1614940674
Jhunjhunūn,28.1307,75.4014,88.74,8,0,14.92,IN,1614940674
Heinola,61.2056,26.0381,23.0,58,20,8.05,FI,1614940675
Santiago,-33.4569,-70.6483,66.0,82,0,8.05,CL,1614940567
Taksimo,56.3444,114.8794,-19.53,96,26,1.39,RU,1614940675
Pahrump,36.2083,-115.9839,50.0,42,1,0.98,US,1614940675
Villa Rica,33.7321,-84.9191,43.0,72,0,1.99,US,1614940675
Arosa,46.7779,9.6762,37.99,83,99,4.7,CH,1614940675
Salalah,17.0151,54.0924,89.6,35,0,12.66,OM,1614940676
Zambezi,-13.5432,23.1047,81.88,51,22,5.3,ZM,1614940676
Udachny,66.4167,112.4,-9.99,97,100,12.41,RU,1614940676
Pathein,16.7833,94.7333,89.2,21,2,14.07,MM,1614940676
Denizli Province,37.8402,29.0698,57.2,28,0,3.44,TR,1614940473
Kargasok,59.0556,80.8572,28.87,92,100,8.88,RU,1614940676
Ivolginsk,51.7492,107.2837,5.0,51,99,8.95,RU,1614940677
Canavieiras,-15.675,-38.9472,77.81,71,11,3.53,BR,1614940677
Lamar,33.6668,-95.5836,51.01,87,90,12.66,US,1614940677
Ongandjera,-17.8833,15.0667,86.63,24,0,10.07,NA,1614940677
Kikwit,-5.041,18.8162,92.91,44,70,3.2,CD,1614940678
Gisborne,-38.6533,178.0042,66.99,64,0,4.0,NZ,1614940678
Orós,-6.2444,-38.9136,78.87,71,100,3.09,BR,1614940678
Middelburg,-25.7751,29.4648,80.82,31,32,9.95,ZA,1614940678
Atar,20.5169,-13.0499,66.2,18,0,16.11,MR,1614940678
Ibrā’,22.6906,58.5334,98.74,10,0,10.25,OM,1614940678
San Patricio,28.017,-97.5169,66.2,82,90,9.22,US,1614940679
Krasnoarmeysk,51.0239,45.6969,37.0,58,94,4.0,RU,1614940679
Nantucket,41.2835,-70.0995,24.01,65,64,22.01,US,1614940663
Tachov,49.7953,12.6337,37.0,92,96,7.0,CZ,1614940679
Taltal,-25.4,-70.4833,67.24,81,78,1.97,CL,1614940679
Yeppoon,-23.1333,150.7333,78.8,65,16,3.44,AU,1614940679
Aripuanã,-9.1667,-60.6333,70.39,99,100,1.16,BR,1614940680
Ust-Nera,64.5667,143.2,-30.05,95,100,7.74,RU,1614940680
Ankpa,7.3706,7.6253,97.32,22,4,7.81,NG,1614940680
Portobelo,9.55,-79.65,75.99,99,22,12.5,PA,1614940680
Acapulco de Juárez,16.8634,-99.8901,71.28,77,0,4.0,MX,1614940680
Victor Harbor,-35.5667,138.6167,64.0,72,0,15.64,AU,1614940680
Comodoro Rivadavia,-45.8667,-67.5,59.0,82,20,11.5,AR,1614940544
Rivera,-30.9053,-55.5508,67.23,94,88,10.02,UY,1614940681
Ilula,-7.6766,36.0366,77.0,61,75,3.8,TZ,1614940681
Yeniseysk,58.4497,92.1703,28.51,88,100,5.64,RU,1614940681
Atocha,-20.9333,-66.2333,39.4,94,97,7.07,BO,1614940681
Kita,13.0349,-9.4895,95.83,9,0,9.84,ML,1614940681
Port Blair,11.6667,92.75,86.0,74,40,8.05,IN,1614940681
Dutse,11.7594,9.3392,93.15,8,32,12.46,NG,1614940682
Kulhudhuffushi,6.6221,73.07,82.54,75,0,15.12,MV,1614940682
Mahibadhoo,3.7833,72.9667,82.87,71,0,11.83,MV,1614940682
Majene,-3.5403,118.9707,79.95,81,86,9.6,ID,1614940682
Mercedes,-34.6515,-59.4307,66.0,91,60,4.0,AR,1614940683
Oranjemund,-28.55,16.4333,68.88,65,0,12.53,NA,1614940683
Hadejia,12.4498,10.0444,94.48,7,4,14.61,NG,1614940683
Payo,-3.7508,103.6372,79.97,92,90,2.46,ID,1614940683
Atambua,-9.1061,124.8925,75.96,90,70,1.9,ID,1614940684
Kampong Thom,12.7111,104.8887,92.14,29,0,5.79,KH,1614940684
Saint Anthony,45.0205,-93.218,35.6,69,90,2.55,US,1614940684
Treinta y Tres,-33.2333,-54.3833,68.45,90,9,10.29,UY,1614940684
