city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
Narsaq,60.9167,-46.05,32.0,93,90,2.3,GL,1614940601
Lavrentiya,65.5833,-171.0,6.01,96,70,6.4,RU,1614940601
Kerman,30.2832,57.0788,75.2,17,40,21.85,IR,1614940601
Mountain Home,43.133,-115.6912,39.2,65,1,14.97,US,1614940325
New Norfolk,-42.7826,147.0587,55.4,47,75,14.97,AU,1614940601
San Cristobal,7.7669,-72.225,64.72,90,68,0.92,VE,1614940601
Brigantine,39.4101,-74.3646,27.0,43,1,18.41,US,1614940602
Kongsberg,59.6652,9.6465,37.0,47,2,3.0,NO,1614940602
Guangming,45.3333,122.7833,10.58,47,0,7.54,CN,1614940602
Mackay,-21.15,149.2,77.0,78,27,3.44,AU,1614940386
Isangel,-19.55,169.2667,78.8,94,90,11.5,VU,1614940602
Lucapa,-8.4192,20.7447,77.92,80,72,3.65,AO,1614940602
Upata,8.0086,-62.3989,73.99,94,63,1.99,VE,1614940602
Lebu,-37.6167,-73.65,56.71,93,5,11.56,CL,1614940603
Kavaratti,10.5669,72.642,83.26,55,0,2.35,IN,1614940603
Tiksi,71.6872,128.8694,-23.49,98,77,4.14,RU,1614940603
Te Anau,-45.4167,167.7167,45.46,91,27,4.09,NZ,1614940603
Deputatsky,69.3,139.9,-21.69,88,100,13.18,RU,1614940603
Caculé,-14.5033,-42.2222,70.83,78,29,5.01,BR,1614940603
Maningrida,-12.0667,134.2667,83.59,80,11,10.18,AU,1614940604
Bafoulabé,13.8065,-10.8321,95.83,8,1,8.03,ML,1614940604
Santa Isabel,-23.3156,-46.2214,71.6,78,20,11.5,BR,1614940604
Basoko,1.2391,23.616,97.07,31,14,3.2,CD,1614940604
Indian Head,38.6001,-77.1622,28.4,40,1,10.36,US,1614940604
Nikolskoye,59.7035,30.7861,25.0,68,40,8.95,RU,1614940605
Nichinan,31.6,131.3667,64.4,82,75,3.44,JP,1614940343
Pochutla,15.7432,-96.4661,71.01,80,0,2.68,MX,1614940605
Tasiilaq,65.6145,-37.6368,32.0,100,90,2.3,GL,1614940605
Dikson,73.5069,80.5464,-23.46,83,100,14.23,RU,1614940388
Ixtapa,20.7,-105.2,64.0,92,3,2.55,MX,1614940606
Stephenville,32.2207,-98.2023,51.01,87,1,3.44,US,1614940606
Lagoa,39.05,-27.9833,56.89,69,74,10.6,PT,1614940606
Yulara,-25.2406,130.9889,93.2,17,63,5.75,AU,1614940606
Broome,42.2506,-75.833,17.01,62,1,16.11,US,1614940606
Fairbanks,64.8378,-147.7164,1.99,77,1,2.82,US,1614940513
Guadalupe y Calvo,26.1,-106.9667,42.66,43,74,5.28,MX,1614940607
Tilichiki,60.4667,166.1,-22.74,87,93,6.29,RU,1614940607
Mahébourg,-20.4081,57.7,82.4,74,75,11.5,MU,1614940607
Tazmalt,36.3868,4.3989,62.02,61,0,1.81,DZ,1614940607
Nome,64.5011,-165.4064,-2.0,98,1,4.54,US,1614940607
Vardø,70.3705,31.1107,17.6,86,20,13.8,NO,1614940607
Esperance,-33.8667,121.9,77.0,65,90,8.05,AU,1614940607
Salaga,8.5508,-0.5188,97.23,37,61,5.91,GH,1614940515
Ormara,25.2088,64.6357,78.28,66,0,12.37,PK,1614940607
Hong Kong,22.2855,114.1577,70.0,90,100,1.01,HK,1614940347
Portland,45.5234,-122.6762,43.0,87,40,1.59,US,1614940008
Qaanaaq,77.484,-69.3632,-23.55,52,0,2.17,GL,1614940608
Bethel,41.3712,-73.414,21.99,53,19,1.99,US,1614940608
Tongchuanshi,35.0806,109.0897,56.48,40,98,3.33,CN,1614940608
Pacific Grove,36.6177,-121.9166,48.0,87,1,4.61,US,1614940608
Lerwick,60.1545,-1.1494,42.8,65,40,16.11,GB,1614940609
Poum,-20.2333,164.0167,82.51,81,100,26.84,NC,1614940609
Iqaluit,63.7506,-68.5145,6.8,78,75,24.16,CA,1614940609
Riyadh,24.6877,46.7219,75.2,24,0,11.5,SA,1614940609
Carnarvon,-24.8667,113.6333,80.6,74,0,16.11,AU,1614940609
Nova Viçosa,-17.8919,-39.3719,77.27,73,12,6.62,BR,1614940610
